2025/8/6 11:5:38 Code (196614): No response from controller after 3 retries.
2025/8/6 11:6:13 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:14 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:15 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:16 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:17 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:18 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:19 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
2025/8/6 11:6:20 Code (49934465): MotionManager failure. Ensure remote control mode is selected.
